group_id,subject_id
G1,31901-2002
G1,30000-1501
G1,31901-2006
G1,31901-2010
G1,31901-2009
G1,30000-1202
G1,30000-2004
G1,31901-2013
G1,30001-1001
G1,31901-2017
G2,30000-1202
G2,30000-1501
G2,30001-1001
G2,31901-2002
G2,31901-2006
G2,31901-2009
G2,31901-2013
G2,31901-2017
G2,30000-2004
G3,30000-1201
G3,30000-1404
G3,30001-1002
G3,30001-1003
G3,31901-2005
G3,31901-2007
G3,31901-2012
G3,30000-2002
G4,30000-1201
G4,30000-1404
G4,30001-1002
G4,30001-1003
G4,31901-2005
G4,31901-2007
G4,31901-2012
G4,30000-2002
G5,30000-1201
G5,30000-1404
G5,30001-1002
G5,31900-0001
G5,31900-0004
G5,31900-1001
G5,31900-1002
G5,31901-2005
G5,31901-2012
G5,30000-2002
G6,20001-1003
G6,20901-2007
G6,20901-2009
G6,20901-2106
G6,20901-2107
G6,20901-8503
G7,20000-1208
G7,20000-1402
G7,20001-1003
G7,20901-2406
G7,20901-2407
G7,20901-2408
G7,20901-8503
G7,20901-9203
G7,20000-2007
G8,21900-1004
G8,21901-2010
G8,21901-2011
G8,21901-2012
G8,21901-2017
