subject_id,subject_name,theory,practice,credit
30000-1202,การเขียนและการนำเสนอโครงงานภาษาอังกฤษ,0,2,1
30000-1501,สังคมไทยในยุคดิจิทัล,1,2,2
30001-1001,การเป็นผู้ประกอบการ,2,2,3
31901-2002,ระบบปฏิบัติการเครื่องแม่ข่าย,1,4,3
31901-2006,การพัฒนาซอฟต์แวร์เชิงวัตถุ,1,4,3
31901-2009,การพัฒนาไฮบริดแอปพลิเคชัน,1,4,3
31901-2010,การพัฒนาอุปกรณ์เคลื่อนที่,1,4,3
31901-2013,การประยุกต์ใช้ระบบไอโอทีในชีวิตประจำวัน,1,4,3
31901-2017,โครงงานด้านเทคโนโลยีสารสนเทศ 2,0,6,2
30000-2004,กิจกรรมองค์การวิชาชีพ,0,2,0
30000-1201,ภาษอังกฤษสำหรับงานอาชีพ,1,2,2
30000-1404,แคลคูลัส 1,3,0,3
30001-1002,องค์การและการบริหารงานคุณภาพ,3,0,3
30001-1003,การประยุกต์ใช้เทคโนโลยีดิจิทัลในอาชีพ,2,2,3
31901-2005,การพัฒนาซอฟต์แวร์ด้วยเทคโนโลยี Back-end,1,4,3
31901-2007,เทคโนโลยีการจัดการฐานข้อมูล,1,4,3
31901-2012,การวิเคราะห์และการนำเสนอข้อมูล,1,4,3
30000-2002,กิจกรรมองค์การวิชาชีพ 1,0,2,0
31900-0001,การสร้างเว็บไซต์,1,4,3
31900-0004,ระบบเครือข่ายคอมพิวเตอร์,1,4,3
31900-1001,กฎหมายในงานอาชีพอุตสาหกรรมดิจืทัล,1,0,1
31900-1002,การจัดการข้อมูลขนาดใหญ่เบื้องต้น,1,2,2
20001-1003,ธุรกิจและการเป็นผู้ประกอบการ,1,2,2
20901-2007,ระบบเครือข่ายโทรศัพท์เคลื่อนที่,2,0,2
20901-2009,การประยุกต์ใช้งานระบบควบคุมด้วยคอมพิวเตอร์,1,2,2
20901-2106,งานบริการคอมพิวเตอร์และเทคโนโลยีสารสนเทศ,0,4,2
20901-2107,ปฎิสัมพันธ์ระหว่างมนุษย์กับคอมพิวเตอร์,1,2,2
20901-8503,โครงงาน 2,0,2,0
20000-1208,ภาษอังกฤษเพื่อความพร้อม,0,2,1
20000-1402,คณิตศาสตร์อุตสาหกรรม,2,0,2
20901-2406,วิทยาการก้าวหน้าระบบสมองกลฝังตัวและไอโอที,1,2,2
20901-2407,ปัญหาพิเศษซอฟต์แวร์ระบบสมองกลฝังตัวและไอโอที,0,4,2
20901-2408,ปฎิบัตืงานพัฒนาระบบควบคุมด้วยคอมพิวเตอร์,0,6,3
20901-9203,การอินเทอร์เฟสในระบบสมองกลฝังตัวและไอโอที,1,2,2
20000-2007,กิจกรรมส่งเสริมคึณธรรม จริยธรรม,0,2,0
21900-1004,หลักการวิเคราะห์และออกแบบระบบเชิงวัตถุ,1,2,2
21901-2010,การสร้างภาพเคลื่อนไหวเบื้องต้น,1,4,3
21901-2011,การพัฒนาแอปพลิเคชันบนอุปกรณืเคลื่อนที่,1,4,3
21901-2012,การพัฒนาระบบกันด้วยแพลตฟอร์ม,1,2,2
21901-2017,เทคโนโลยีการนำเข้าข้อมูลเข้าสู่ระบบคอมพิวเตอร์,1,2,2
21906-2006,การโปรแกรมเพื่อวิทยาศาสตร์ข้อมูล,2,3,3
