timeslot_id,day,period,start,end
1,Mon,1,8:00,9:00
2,Mon,2,9:00,10:00
3,Mon,3,10:00,11:00
4,Mon,4,11:00,12:00
5,Mon,5,12:00,13:00
6,Mon,6,13:00,14:00
7,Mon,7,14:00,15:00
8,Mon,8,15:00,16:00
9,Mon,9,16:00,17:00
10,Mon,10,17:00,18:00
11,Mon,11,18:00,19:00
12,Mon,12,19:00,20:00
13,Tue,1,8:00,9:00
14,Tue,2,9:00,10:00
15,Tue,3,10:00,11:00
16,Tue,4,11:00,12:00
17,Tue,5,12:00,13:00
18,Tue,6,13:00,14:00
19,Tue,7,14:00,15:00
20,Tue,8,15:00,16:00
21,Tue,9,16:00,17:00
22,Tue,10,17:00,18:00
23,Tue,11,18:00,19:00
24,Tue,12,19:00,20:00
25,Wed,1,8:00,9:00
26,Wed,2,9:00,10:00
27,Wed,3,10:00,11:00
28,Wed,4,11:00,12:00
29,Wed,5,12:00,13:00
30,Wed,6,13:00,14:00
31,Wed,7,14:00,15:00
32,Wed,8,15:00,16:00
33,Wed,9,16:00,17:00
34,Wed,10,17:00,18:00
35,Wed,11,18:00,19:00
36,Wed,12,19:00,20:00
37,Thu,1,8:00,9:00
38,Thu,2,9:00,10:00
39,Thu,3,10:00,11:00
40,Thu,4,11:00,12:00
41,Thu,5,12:00,13:00
42,Thu,6,13:00,14:00
43,Thu,7,14:00,15:00
44,Thu,8,15:00,16:00
45,Thu,9,16:00,17:00
46,Thu,10,17:00,18:00
47,Thu,11,18:00,19:00
48,Thu,12,19:00,20:00
49,Fri,1,8:00,9:00
50,Fri,2,9:00,10:00
51,Fri,3,10:00,11:00
52,Fri,4,11:00,12:00
53,Fri,5,12:00,13:00
54,Fri,6,13:00,14:00
55,Fri,7,14:00,15:00
56,Fri,8,15:00,16:00
57,Fri,9,16:00,17:00
58,Fri,10,17:00,18:00
59,Fri,11,18:00,19:00
60,Fri,12,19:00,20:00
